lh,rh,ls,rs,w,ll,rl
48.9,64.1,2508.12,1701.28,124,128.4,179.3333333
47.2,62.1,2425.56,315.56,121,128.4,183
48,63.1,2503.44,1542.52,124,135.6,182.6666667
47.9,62.1,2497.44,1364.16,126,140.2,180.6666667
47.2,61,2462.76,919.24,126,141.8,182
47.8,61.1,2498.4,1483.72,128,145.4,180.6666667
48.4,61.1,2472.6,1072.12,126,146.2,182.6666667
50.2,62,2506.92,1618.96,127,149.4,182
50.6,62.5,2498.64,1683.64,126,150,181
50.6,63.7,2477.64,1358.28,126,148.2,179.3333333
50.8,65.1,2445.48,878.08,126,147,183
52.1,69.5,2502.6,1846.32,128,148.8,185.3333333
52.9,74.6,2509.8,1942.36,129,147.4,186.3333333
54.7,84.4,2495.76,1628.76,128,145,186.6666667
57.9,100.3,2485.32,1497.44,125,143.4,186.6666667
59.5,107,2469.84,1036.84,123,141.8,187
59.2,108,2460.24,1029,121,140.4,190
68.4,108.7,2481.96,1681.68,122,141.6,190
68.9,118.9,2485.32,1789.48,122,140.4,188.6666667
69.1,131.8,2449.08,1544.48,122,138.8,187
70.8,148.6,2430.24,921.2,120,136.6,188.6666667
72.3,163.4,2451.36,1377.88,119,136.8,189
74.3,166.9,2437.44,1183.84,118,135.6,191.3333333
74.7,155.8,2478,1862,119,136.6,192
71.1,146,2474.64,1783.6,119,135.8,188.6666667
65.9,135.7,2406.24,746.76,116,133,192
62.5,131.8,2490.96,1499.4,118,135,190.3333333
60.6,122.4,2462.88,799.68,118,133.4,190
58.1,119.7,2432.64,960.4,117,133,192.3333333
57.3,118.7,2505.12,1638.56,117,133.8,191.6666667
56.3,115.9,2497.68,1491.56,117,133.6,190.6666667
54.9,114.5,2490.24,1387.68,118,133.2,190.3333333
54.9,107,2494.2,846.72,119,132.8,189.3333333
54.2,104.7,2462.16,70,118,131.6,189
54.9,105.3,2470.32,70,118,131.4,191
55.8,101.7,2506.8,70,120,132.4,185.6666667
53.7,98.3,2416.08,70,120,128.8,190
56.5,94.6,2505.96,1379.84,128,131.8,187.6666667
58.6,92.6,2473.68,70,131,130.2,187.6666667
56.5,88.7,2468.64,70,133,129.8,187.6666667
55.2,84.8,2475,1042.72,137,130,188.3333333
56.1,83.5,2506.44,1760.08,138,131.4,187.3333333
55.8,82,2496.6,1607.2,137,132,187
55,80.4,2509.2,1989.4,138,131.8,184.6666667
53.4,77,2476.8,1740.48,139,130,184.3333333
53.5,75.2,2482.32,1942.36,141,129.8,183.6666667
53,73.4,2476.08,1862,146,130,187
53.5,73.1,2509.56,2406.88,152,133.6,188.3333333
54,72.2,2507.52,2406.88,156,135,189.3333333
53.3,71.3,2491.44,2157.96,157,136.6,191
52.8,70.6,2488.92,2126.6,156,138.2,189
51.9,69.5,2453.52,1534.68,150,135.6,189.3333333
51.9,69.7,2478.6,1938.44,148,135,192
52,70.7,2533.68,2824.36,149,136,189.6666667
50.9,69.8,2507.04,2099.16,147,134,188.3333333
50.2,69.7,2490.72,1863.96,144,132.6,188
49.5,70.8,2490.48,1871.8,143,132,186.3333333
48.8,69.5,2463,1319.08,141,130.4,187
48.9,69.9,2484.48,1869.84,141,130.6,187.6666667
48.8,69.8,2508.96,2252.04,140,131.2,187.6666667
48.1,69.1,2509.92,2171.68,138,131.4,187.3333333
47.6,67,2502.12,1979.6,137,130.6,187
47,66,2487.84,1748.32,135,129.4,186.6666667
46.4,65.1,2469,1762.04,133,128.6,187
46.1,64.7,2456.28,1403.36,133,128,189.6666667
46.7,66.4,2499.24,1995.28,134,129.2,190
47,69,2502.72,1971.76,134,129,189
47.5,72,2487,1552.32,133,128.2,187.3333333
47.6,73.2,2469.96,1507.24,131,127.4,185.6666667
48,73.8,2376.48,1156.4,127,126.2,186.3333333
48.5,73.5,2295.24,1646.4,127,127.2,187.6666667
49.1,74.4,2249.16,1967.84,127,127.6,187
48.5,77.6,1637.52,1930.6,127,127.2,187.6666667
47.9,80.6,1333.92,1838.48,128,127.2,186.6666667
47.7,80.8,1285.2,1501.36,127,126.4,185.6666667
47.1,80.9,1254.12,1081.92,126,125.2,187.3333333
47.7,81.5,1374,1656.2,128,126.4,187
47.7,81.3,1499.16,1762.04,126,126.6,187.3333333
47.9,80.3,1386,1895.32,126,127,186.3333333
47.5,81,1373.04,1715,124,126.4,186.3333333
48.3,79.9,1214.76,1609.16,124,126.2,184
48.5,79.8,1109.04,1021.16,122,124.8,185
49.2,83.6,1178.28,1648.36,123,125.8,185.6666667
48.6,90.4,1429.08,1860.04,123,125.6,186
47.7,99.7,1758.12,1822.8,123,125.6,186.6666667
48.8,96.4,1859.64,1697.36,122,125.8,186.3333333
47.8,93.7,1933.44,956.48,121,125.4,189
51.1,92.2,2168.4,852.6,121,125.6,191.3333333
50.9,87.4,2284.32,1089.76,121,126.6,191.6666667
52.4,87.9,2421.84,1328.88,122,127.4,189.6666667
52.7,84.6,2481.48,954.52,121,126.4,189.3333333
54.3,83.6,2493.6,1644.44,122,126.6,187
51.4,85.2,2479.32,70,122,125.8,185.3333333
50.4,82.2,2462.28,70,126,125,187
50.1,81.5,2502.36,70,129,126,187.6666667
49.9,80.1,2520.24,70,134,126.6,185.3333333
50,76.6,2484.24,176.4,134,126,182.6666667
50.2,73.8,2449.2,793.8,138,126.4,185
51.8,73.5,2503.2,1311.24,146,127.2,182.3333333
52.6,70.7,2468.16,1319.08,148,125.4,183.3333333
52.9,71.4,2506.2,2003.12,152,126.4,182.6666667
52.2,71,2508.72,2399.04,153,126.2,181.6666667
51.5,70,2496.84,2163.84,155,125.4,181.3333333
50.3,69.4,2501.88,2269.68,157,125,181.6666667
49.7,68.3,2495.4,2206.96,156,124.2,181.3333333
48.6,66.9,2467.32,1765.96,154,122.8,184.6666667
48.4,66.8,2506.8,2420.6,156,123.8,186.6666667
47.9,66.2,2501.28,2303,158,123.2,189.6666667
48.1,65.7,2494.44,2228.52,157,122.8,192
49,65.6,2500.8,2297.12,152,122.6,190.6666667
48.8,65,2474.4,1850.24,149,121.4,190.3333333
48.1,65.2,2469.72,1771.84,150,121,188
46.9,64.5,2431.2,1172.08,149,119.6,191.3333333
47.2,66.7,2509.56,2438.24,150,122.2,190.6666667
47.1,66.6,2508.72,2371.6,149,122.2,189
46.6,66.2,2495.4,2130.52,148,122.2,187.3333333
45.9,65.9,2460.72,1307.32,145,120.8,187.6666667
45.6,65.7,2470.2,1417.08,142,121.2,189.3333333
45.7,65.6,2506.2,1983.52,142,122.6,188.6666667
45.9,64.7,2507.28,1995.28,139,123.2,185.6666667
45.7,63.5,2453.16,1128.96,136,121.8,186
46.9,63.3,2469.6,1368.08,137,122.8,185.6666667
48.8,62.8,2467.2,1324.96,136,123,186
49,62.4,2466.48,1317.12,136,123,187.6666667
50,63.4,2505.24,1952.16,140,124.2,187.3333333
49.5,64.3,2447.16,1905.12,142,123.8,187.3333333
48.7,65.7,1865.88,1891.4,147,124,186
48.1,65.9,1935.6,1532.72,151,123.6,183.6666667
47.3,65.3,1514.16,1017.24,154,123.2,184
47.4,66.6,1168.2,1307.32,158,123.6,185.6666667
47.4,69.2,1134.96,1799.28,159,127,185.6666667
46.6,69.3,1149.48,1532.72,157,126.6,186.3333333
46.4,70.2,1130.4,1771.84,155,126.6,184.3333333
45.8,69.4,1108.08,1326.92,152,125,183
45.7,69.5,1271.76,1228.92,149,124.4,182.6666667
45.7,68.8,1242.36,1324.96,147,124.4,183.3333333
46.6,68.7,1166.28,1787.52,147,125.2,182.6666667
46.7,69.8,1246.08,1736.56,146,124.6,181
47.1,71,1458,1054.48,146,123,180
46.5,72.6,1786.92,834.96,143,123.4,179.3333333
47.6,75.5,1883.4,750.68,140,123.8,180.6666667
49.4,76.6,2074.8,1268.12,140,125,178.6666667
49.8,77.5,2237.88,548.8,138,125.8,180.6666667
55.6,78.4,2373.48,1277.92,140,129.6,180.3333333
53.2,82,2436.96,1348.48,139,132.4,180
62.1,85,2408.4,1158.36,142,131.2,178.3333333
58.9,90.4,2373.24,70,138,132.2,180.3333333
56.2,96.7,2488.44,70,145,132.4,182
56.2,93,2508.6,70,144,135.2,184
53.9,88.4,2504.4,70,145,135.6,186
52.1,87.3,2489.16,1448.44,144,138.2,187
51.8,82.8,2491.44,925.12,144,139.8,185
50.8,78.6,2454.6,735,145,138,185.6666667
51.7,80.2,2492.64,954.52,149,137.8,181.6666667
52.8,78.2,2434.92,578.2,147,135,184
55.2,78.7,2508,1944.32,149,137.6,183
56.8,78.1,2504.52,2228.52,148,136,181.3333333
56,76.7,2484.36,2032.52,149,133.8,179.6666667
54.5,75.1,2460,1642.48,150,131.6,181
56.1,75.4,2495.76,2234.4,153,131.8,177
55.9,73.6,2412.36,887.88,153,128,181.3333333
61.8,75,2508.72,2430.4,158,130.6,180.6666667
65,74.4,2505.96,2381.4,155,130,180
64.9,73.6,2497.44,2254,152,129.2,177.6666667
61.3,72.3,2462.64,1691.48,150,127.8,178.6666667
58.8,72.3,2499.36,2289.28,151,128.6,179
56.9,71.8,2508,2430.4,150,128.6,175
53.6,69.5,2431.2,1181.88,146,126.2,178.3333333
52.8,70.1,2501.28,2171.68,149,129.4,177
51.9,69.4,2481.6,1905.12,148,130.6,175
50.9,68.2,2447.04,1309.28,146,132.8,177.3333333
51.1,69,2500.08,2012.92,146,135.8,177
50.5,68.2,2502.72,2050.16,144,134.8,177
50.4,67.5,2499.48,2089.36,143,134,176.3333333
50,66.3,2495.16,2050.16,142,133,176.3333333
49.8,65.6,2499.48,2018.8,141,132.6,173.6666667
49,64.1,2445.24,1152.48,138,130.4,176
49.8,65.3,2499.36,2048.2,139,131.8,176
50.7,65.3,2499.48,2016.84,138,131.2,172.3333333
49.1,64.2,2435.4,834.96,134,128.4,174
50.2,64.9,2383.32,1287.72,138,129,174.3333333
50.9,66.3,1993.92,1174.04,140,128.6,174
52.8,66.1,1367.64,1201.48,141,128,175.6666667
53.2,67.9,1132.32,1820.84,147,129.4,175
52.3,69,997.08,1691.48,148,129.8,175.3333333
52.4,70,1041.96,1787.52,148,130.2,175
52.8,70.6,954.84,1581.72,147,130.6,174
52.7,70.6,833.4,1250.48,146,131,173.3333333
52.8,71.6,772.8,915.32,142,129,174
53.2,71.5,774.6,1034.88,140,128.6,177
53,72.1,772.56,1716.96,139,129.8,174.6666667
51.5,71.9,789.48,807.52,136,127.2,176.6666667
51.6,72.5,988.2,1456.28,137,128.6,175.6666667
51,74.7,1276.44,1158.36,135,127.8,175.3333333
50.3,74.4,1554.48,1172.08,134,127.2,177
50.5,75.8,1770.84,1577.8,134,128.4,172.6666667
49,74.8,1995.36,160.72,128,125,176
