lh,rh,ls,rs,w,ll,rl
251.2,506.2,2498.16,2444.7072,289,4926.24,321.12
175.7,762.2,2508.72,2562.4248,260,7409.52,288.24
108.6,1471.6,2504.16,2583.828,269,7398.96,302.16
72.3,2107,2498.04,2472.2256,294,7368.24,343.68
66.7,2914.5,2482.68,2291.8272,294,7314.96,334.56
66.5,3044.2,2456.04,1953.9624,279,7340.16,336
66.9,3084.7,2499.12,2505.8592,272,7335.12,344.88
67.9,3091.4,2509.8,2634.2784,258,6845.52,320.64
68.3,3082.7,2500.56,2528.7912,245,5082.48,293.28
67.8,3041.6,2450.04,1886.6952,235,1872.48,303.36
72.1,3059,2471.28,2167.9944,246,753.12,357.36
83.5,3025.6,2446.32,1831.6584,267,510.48,400.08
93.2,2838.2,2467.92,2135.8896,298,465.36,526.32
81,1560.2,2413.08,1423.4688,322,420.48,1644.24
114.2,590.1,2497.68,2495.1576,324,366.48,5109.12
207,310.6,2484.96,2339.22,274,337.68,6990.48
319.3,206.3,2474.28,2216.916,274,319.2,7328.16
776.9,171.3,2482.32,2333.1048,302,338.4,7370.64
2130.4,153.2,2498.88,2571.5976,280,311.52,7363.92
2991.1,140.5,2497.44,2568.54,275,312.96,7404
3090.1,131,2498.04,2524.2048,247,297.36,7322.64
3059.9,123.8,2461.8,2117.544,264,294.48,7257.36
3065,120.1,2467.44,2189.3976,254,284.64,7044
3056.1,116.4,2456.64,2056.392,231,281.76,6624.48
3092.1,121.1,2499.24,2603.7024,220,293.76,4925.04
3037.7,138.8,2445.72,1909.6272,234,281.28,2419.92
3072.4,197.1,2481.6,2366.7384,252,303.12,1825.92
2558.5,354.7,2494.92,2498.2152,275,346.56,986.64
888.4,549.4,2464.8,2152.7064,268,425.52,806.64
325.3,1032.5,2442,1869.8784,276,1462.08,598.08
160.6,1840.3,2501.76,2600.6448,242,5556.24,533.76
105.3,2114.3,2510.52,2667.912,261,7203.12,479.04
94.9,2684.1,2489.16,2343.8064,278,7381.2,529.92
94.9,3073,2490.36,2391.1992,280,7289.04,506.4
95.9,3032.5,2443.32,1813.3128,264,7102.32,498.72
96.1,3056,2467.8,2120.6016,248,7125.84,448.8
91.8,3089.2,2508.48,2632.7496,242,4805.04,404.88
88,3033.2,2444.04,1819.428,237,4023.6,388.56
88.3,3041.7,2455.8,1950.9048,247,1313.28,376.32
97,3051.2,2470.8,2142.0048,252,814.08,420.96
98.3,2965.4,2479.08,2241.3768,281,501.36,581.52
85.5,1880.2,2455.56,1946.3184,324,486.72,901.44
87.4,743.9,2510.52,2643.4512,348,397.44,2434.32
177,370.3,2508.24,2615.9328,280,366,6338.88
272.9,237.3,2481.24,2406.4872,262,348,7025.52
579.3,187.5,2480.52,2397.3144,277,348.96,7279.44
1432.6,166.6,2452.92,2056.392,267,321.12,7331.76
2797.1,147.3,2462.64,2177.1672,262,306.72,7410.96
3072.8,137.5,2500.68,2640.3936,242,294.48,7220.16
3014.6,127.2,2407.32,1434.1704,223,292.8,7326.72
3070.5,123.1,2475.72,2282.6544,213,288.96,7337.52
3075.2,121,2481.48,2349.9216,207,288.48,7032.24
3038.9,125.9,2438.16,1808.7264,200,321.36,6696
3066.8,141.8,2472.72,2233.7328,196,331.44,5076.48
3088.1,182.7,2508.96,2625.1056,234,346.32,3535.2
2971.1,293.3,2508.6,2600.6448,305,604.32,1505.52
2449.4,457.6,2457.84,2071.68,345,3095.28,962.4
867.1,682.8,2488.8,2403.4296,302,5667.12,758.64
367.1,1158,2468.16,2111.4288,269,7320.72,644.4
168.7,1726,2459.16,2012.0568,306,7415.52,711.12
113.6,2090.8,2506.68,2586.8856,299,7371.6,685.44
104.3,2876.4,2485.08,2311.7016,293,7412.4,621.84
107.7,3085,2505.84,2600.6448,265,7317.84,579.12
105.9,3064.4,2479.44,2252.0784,252,7292.16,526.32
100.8,3048.9,2456.88,1969.2504,243,7351.44,500.64
99.3,3072.6,2487.72,2352.9792,275,6060.72,483.6
93.9,3092.2,2509.56,2641.9224,276,2894.64,466.32
89.5,3083.4,2504.88,2577.7128,268,1788,548.88
82.9,2895.8,2496.12,2456.9376,280,686.64,610.56
78.9,1772.6,2480.64,2255.136,304,565.92,905.52
105.5,808.1,2444.76,1808.7264,322,474.96,2161.68
188.2,370.3,2495.52,2459.9952,275,431.52,6363.12
324.1,231.6,2532.36,2936.9808,252,384,7105.92
678.5,183.5,2508.72,2632.7496,309,377.28,7359.6
1469.5,164.7,2505.6,2583.828,288,365.28,7353.6
2873.3,150.4,2476.32,2201.628,288,340.32,7317.12
3049.8,142.8,2455.2,1987.596,272,333.12,7384.08
3078.3,139.2,2488.8,2391.1992,268,323.04,7414.08
3091.9,136.3,2504.28,2599.116,257,325.2,7392.72
3089.3,139.4,2503.08,2567.0112,251,304.56,7370.64
3086.9,154.1,2502.12,2547.1368,246,299.28,7043.76
3086.3,192.6,2501.28,2544.0792,236,323.52,5947.44
3029.7,275.4,2447.28,1851.5328,230,326.16,4583.28
3068.5,461.5,2495.4,2482.9272,263,368.88,3085.92
1749.9,647.6,2509.2,2634.2784,275,403.2,1722.72
549.6,1060.4,2507.16,2600.6448,286,684.96,1347.12
206.8,1716.4,2498.88,2502.8016,291,3683.76,1073.52
138.3,2379.4,2500.2,2531.8488,260,6075.6,818.64
108,2867.6,2454,1957.02,312,7386,804.24
102.5,3081.2,2496.6,2466.1104,292,7414.56,804.24
97.5,3091.5,2507.28,2597.5872,294,7412.4,718.8
96.2,3091.7,2507.16,2622.048,278,7355.76,630.48
95.3,3084.5,2497.92,2493.6288,267,7362.24,570.24
93.4,3086,2499.84,2531.8488,267,5867.76,543.12
92.9,3051.3,2458.44,1990.6536,257,4524,561.12
100.8,3057.5,2466.24,2082.3816,254,1860.48,512.88
124,3082.5,2503.56,2567.0112,247,935.04,482.4
164.1,2887.6,2495.04,2459.9952,248,575.28,537.6
237.1,1890.5,2502.48,2548.6656,239,484.8,836.16
365.7,619.5,2474.64,2181.7536,246,445.44,1108.08
748.5,342,2461.8,2024.2872,250,419.76,2284.32
1271.5,259.2,2505,2554.7808,212,385.44,5596.32
2261.1,206.1,2506.8,2583.828,243,378.96,6714.48
3010.4,184.2,2433.6,1684.8936,252,361.2,7234.56
3059.5,187.6,2468.64,2142.0048,274,343.44,7322.4
3062.8,192.9,2468.16,2151.1776,261,330.96,7288.56
3055.3,191.6,2457.12,2033.46,250,320.88,7336.32
3092,184.4,2500.8,2593.0008,230,310.8,7304.88
3091,176.2,2499.72,2563.9536,232,314.4,6978.48
3091.2,170.9,2500.44,2568.54,226,357.6,6518.16
3086,192.8,2500.8,2487.5136,225,372.96,4797.36
3059.3,281.8,2471.28,2123.6592,229,388.08,3590.88
3045.1,438.3,2467.32,2073.2088,266,571.92,1613.04
1352.6,583.6,2509.8,2609.8176,323,2766,1096.08
601.6,934.5,2508.12,2600.6448,290,5617.44,797.76
302.7,1509.7,2488.08,2351.4504,244,7377.36,657.84
166.5,2067.8,2488.08,2351.4504,299,7337.52,628.32
122.2,2524.2,2467.44,2048.748,290,7345.92,699.12
109.8,2980.4,2471.52,2134.3608,292,7263.36,618.96
110.5,3026.6,2430.72,1515.1968,278,7414.08,565.68
111.9,3090.7,2506.08,2588.4144,271,7379.76,547.44
104.5,3075.8,2488.68,2377.44,266,7301.76,508.8
99.1,3042.8,2449.8,1877.5224,263,6687.12,480
98.3,3036.5,2442,1791.9096,265,4667.04,463.2
98.5,3098.6,2515.92,2722.9488,260,1904.88,459.6
94.2,3087.7,2509.44,2632.7496,250,1000.32,463.68
89.7,2920.4,2505.84,2586.8856,270,605.04,615.12
83.3,2061.7,2505.84,2576.184,261,499.2,779.28
114.3,764.9,2475.12,2184.8112,263,482.16,1212
296.2,358.1,2452.44,1892.8104,236,410.64,4548.48
576.2,240.8,2454.24,1953.9624,259,438,6876.24
1238,195.8,2495.28,2556.3096,284,419.28,7242.24
2335.8,175.5,2479.56,2371.3248,265,382.08,7383.36
3067,160.8,2487.12,2458.4664,275,356.4,7376.4
3074.9,152,2482.44,2368.2672,257,338.64,7272.96
3048.3,145.5,2446.32,1950.9048,251,334.08,7318.08
3067.9,140,2473.92,2223.0312,232,327.84,7261.68
3092.5,134.6,2502.48,2615.9328,218,348.72,7003.68
3090.3,135.2,2499.36,2576.184,227,356.16,6197.28
3069.6,144.2,2483.64,2359.0944,234,373.92,4419.6
3050.7,165.3,2465.4,2160.3504,249,405.6,3831.36
2524.1,231.3,2444.88,1854.5904,290,514.56,1829.04
1187.6,389.2,2472.72,2245.9632,333,1892.4,1140.96
541.7,653.9,2505.48,2577.7128,276,4951.2,945.84
285.9,958.3,2492.88,2434.0056,227,6765.12,742.56
147,1472.1,2499.96,2521.1472,299,7358.88,806.4
110.2,2032.1,2478,2221.5024,267,7288.08,775.68
101.5,2743.1,2442.6,1796.496,269,7365.84,693.36
116.9,3064.3,2486.4,2365.2096,263,6939.6,623.76
109.4,3091.2,2506.68,2599.116,245,6923.28,569.28
99.4,3017.4,2418.36,1492.2648,228,5915.76,518.88
97.2,3054.1,2462.4,2038.0464,248,4160.88,499.68
98,3072.9,2485.08,2319.3456,255,2022.72,473.28
97.4,3050.6,2459.88,2007.4704,260,799.92,552.72
97.8,3066.4,2490.96,2397.3144,245,606.96,631.92
93.4,2704.2,2473.92,2177.1672,278,499.44,786
93.4,1550.4,2504.52,2562.4248,326,431.52,1762.08
194.5,467.3,2498.16,2481.3984,302,445.44,5447.04
383.9,269.3,2497.68,2495.1576,237,376.56,6649.92
782.6,199.2,2448.6,1947.8472,285,395.04,7018.8
1524.4,173.7,2487.72,2461.524,281,358.32,7333.44
2669.9,158.7,2500.32,2600.6448,264,342,7390.8
3071.1,146,2501.76,2563.9536,256,321.36,7285.68
3063.7,136.9,2468.16,2166.4656,232,312.48,7263.36
3070.3,132.3,2473.92,2268.8952,232,301.92,6964.08
3038.7,127.9,2435.88,1802.6112,230,306,6719.28
3055.1,125.9,2454.24,2057.9208,242,330.24,5795.04
3091.3,123.6,2500.44,2603.7024,263,360.72,3634.8
3073.5,122.9,2476.8,2331.576,295,359.52,1865.52
3065,138.9,2466.96,2203.1568,337,410.16,1275.84
2387.2,167.9,2474.04,2307.1152,292,678.72,1043.04
1240.3,319.3,2450.88,2013.5856,254,2891.52,814.56
535.8,577.3,2494.08,2559.3672,249,5771.76,682.56
209.1,1029.1,2501.76,2625.1056,275,7240.08,671.28
143.1,1629.7,2429.28,1697.124,254,7354.08,685.2
148.9,2629.7,2472,2203.1568,265,7335.84,636.48
152.2,3055.9,2470.2,2132.832,250,7318.8,581.76
138.5,3050,2461.56,2031.9312,244,7292.64,528.48
122.5,3041.8,2448.48,1871.4072,252,7416.48,533.04
121.9,3092.6,2509.08,2615.9328,258,7189.92,495.6
113.8,3034.9,2440.32,1752.1608,242,6051.84,473.28
109.1,3086.2,2503.44,2559.3672,231,4503.12,480.48
100.9,3044.7,2476.8,2209.272,222,2887.44,495.6
98.1,2480,2467.8,2085.4392,271,931.44,657.36
106.5,1547.3,2509.2,2615.9328,325,672.48,762.48
153.1,490.1,2508.48,2606.76,344,560.64,1237.44
329.4,290.2,2443.08,1772.0352,302,495.84,3637.92
710.9,213.9,2492.16,2426.3616,271,443.28,6496.08
1426.2,170.4,2458.2,2074.7376,262,439.2,7066.8
2512.6,154.7,2458.08,2070.1512,281,412.56,7397.76
3089.5,143.3,2499.24,2608.2888,282,384.96,7398.96
3083.9,137.5,2492.04,2502.8016,280,357.84,7379.28
3076.9,132.1,2481.48,2374.3824,256,343.92,7294.56
3042,126.5,2439.84,1839.3024,243,348,7370.4
3074.3,126.8,2478.24,2336.1624,238,338.88,7303.44
3059.9,130.8,2461.92,2123.6592,234,346.56,7122.72
3091.8,144.8,2498.76,2525.7336,242,389.28,6404.4
3080.2,163.7,2484.36,2412.6024,225,396.48,5012.88
3084.6,247,2495.16,2530.32,266,412.08,3353.28
2443.2,447.1,2489.64,2478.3408,319,734.88,2033.52
1237.4,639.4,2461.56,2116.0152,306,2100,1575.84
499.1,1287.8,2464.44,2154.2352,261,5025.12,1203.84
246.3,1738.9,2502.96,2632.7496,252,7211.28,1032.72
156.1,2523,2506.08,2534.9064,284,7413.12,1026.72
134.6,2809.6,2506.08,2476.812,273,7356,877.68
139.7,3064.9,2478.12,2203.1568,274,7352.88,783.84
133.8,3065.3,2477.04,2239.848,264,7348.08,709.44
120.7,3061.3,2474.4,2207.7432,255,7314.48,638.64
114.7,3089.9,2509.32,2640.3936,250,7305.36,585.36
110.3,3085.9,2506.68,2606.76,241,6275.28,550.56
103.6,3023.1,2459.52,1999.8264,235,4071.36,605.28
102,2919.5,2491.92,2426.3616,263,1781.52,612.72
97.9,2102.5,2462.76,2047.2192,285,848.88,868.32
99.5,1110.4,2478.6,2242.9056,316,643.44,1243.44
134.7,431.6,2510.16,2640.3936,342,525.12,2283.6
260.3,256.5,2415.24,1434.1704,244,463.68,5739.36
513.5,195.1,2506.8,2605.2312,260,438.72,6101.76
1138.3,167.3,2482.92,2401.9008,294,453.36,6729.6
2027.6,153.2,2444.16,1921.8576,269,392.64,7077.36
2985.2,142.7,2473.8,2271.9528,272,374.88,7218.24
3091.2,134.5,2500.68,2631.2208,247,373.68,7128.96
3089.7,127.5,2496.6,2580.7704,228,361.68,6909.84
3078.6,122.6,2483.16,2256.6648,211,343.68,6654.96
3074.2,119.2,2478.84,2346.864,206,355.44,6455.76
3055.1,118.4,2456.16,2056.392,212,355.68,5654.64
3075,130.6,2478.96,2354.508,241,345.6,3579.6
3035.8,153.7,2431.08,1756.7472,257,417.12,2777.28
3088.3,224.3,2497.56,2586.8856,294,437.28,1380.96
2470.2,369.4,2489.4,2482.9272,315,614.88,884.88
1009.9,622,2479.56,2365.2096,303,2394,792.48
346.9,1144.5,2447.4,1970.7792,261,5954.4,644.88
186,1689.4,2489.16,2437.0632,288,7355.76,682.08
152.6,2402.7,2509.8,2637.336,289,7420.32,725.52
146.1,2903.5,2508.6,2634.2784,294,7332.48,678.48
140.8,3052.1,2465.04,2062.5072,276,7398.72,618
128.7,3080.4,2497.92,2485.9848,259,7319.04,573.36
113.9,3048.8,2458.32,1986.0672,249,7390.56,530.16
108.7,3075.5,2494.08,2447.7648,249,7230.24,507.12
101.8,3007.7,2414.04,1424.9976,245,6750.96,493.44
103.8,3090,2509.68,2646.5088,245,5006.4,485.52
103.4,3061.8,2505.6,2591.472,233,2665.2,546
101.5,2454.2,2504.88,2574.6552,225,1196.4,684.24
125.9,1346,2461.56,2018.172,267,755.76,981.84
219.1,459.5,2495.88,2444.7072,311,607.2,1571.52
443.9,300.4,2504.76,2562.4248,274,537.84,5457.36
855.1,228,2503.32,2611.3464,243,460.08,6788.88
1589.4,183.7,2463.12,2094.612,283,466.56,7247.52
2571,161,2474.52,2252.0784,266,427.92,7278.48
3043.7,144.4,2443.92,1860.7056,278,402.24,7453.2
3115.4,140.6,2531.28,2944.6248,254,382.8,7385.76
3092.5,138.4,2501.04,2586.8856,230,373.92,7321.44
3078.4,142.7,2483.04,2385.084,219,354.96,7232.16
3090.1,143.6,2497.8,2563.9536,222,362.64,6951.12
3088.1,167.3,2493.36,2518.0896,227,397.44,6056.64
3049.7,248.4,2449.92,1912.6848,233,401.76,4350.48
3090.6,455.2,2497.32,2525.7336,258,434.4,2914.56
3090.3,657.6,2499.84,2609.8176,307,590.64,1599.6
2454.9,1058,2429.16,1707.8256,304,1447.68,1144.32
984.5,1914.4,2470.92,2230.6752,285,4642.56,946.8
351.5,2676.6,2465.76,2062.5072,249,7150.32,762
184.2,3014.3,2461.92,2041.104,281,7342.32,762.96
137.9,3059.8,2470.56,2138.9472,266,7228.08,724.56
125.2,3013.8,2412.96,1424.9976,276,7393.92,672.96
127.9,3083,2495.76,2498.2152,260,7384.56,613.2
117.4,3078.9,2491.08,2426.3616,253,7393.92,588.96
111.3,3083,2496,2487.5136,249,7321.68,545.04
105,3061.2,2469.84,2146.5912,260,7131.6,524.88
104.5,3108.8,2526.72,2883.4728,256,5612.4,488.64
109.4,3091.7,2508.72,2660.268,249,2802.96,482.4
115.8,3042.5,2508.12,2644.98,254,1605.84,610.08
125.6,2284.2,2491.92,2440.1208,284,779.04,762.72
153.4,754.3,2473.08,2190.9264,280,612,1116.48
354.9,365.3,2469.48,2169.5232,309,560.88,3664.32
811.7,271.8,2496.6,2504.3304,264,490.56,6749.04
1546.9,222.7,2506.56,2635.8072,293,525.84,7327.44
2533.7,196.5,2497.2,2618.9904,295,458.4,7326.24
3056.1,175.3,2460.96,2142.0048,288,417.12,7303.92
3044,160.8,2442.36,1905.0408,280,393.12,7335.84
3057.3,153.3,2457.12,2102.256,252,381.84,7415.76
3091.1,153.1,2497.68,2617.4616,238,362.16,7280.88
3036.3,151.4,2432.76,1784.2656,234,357.6,7377.12
3077.5,181.4,2481,2418.7176,269,347.52,7187.52
3065,288,2465.64,2229.1464,259,373.68,6581.04
3056.7,485.9,2459.04,2109.9,262,431.28,5196.72
3050.3,724.3,2452.56,2008.9992,284,425.52,4146.96
2976.7,1233.6,2505.72,2652.624,314,589.2,2498.64
1655.4,2016.9,2506.68,2648.0376,314,1999.92,1896.48
847.8,2644,2489.76,2398.8432,287,4953.6,1594.08
358.1,3037.9,2488.8,2397.3144,244,7137.36,1228.32
195.6,3052.4,2460.36,2018.172,246,7352.16,1088.64
174.5,3065.2,2474.52,2215.3872,268,7412.16,1029.12
165.2,3090.8,2505.12,2605.2312,258,7408.8,873.36
151.8,3089.1,2503.2,2582.2992,254,7405.92,769.2
135.4,3087.9,2501.76,2567.0112,273,7385.76,683.52
124.3,3079.3,2491.56,2437.0632,295,7273.92,630.96
116.1,3062.4,2471.52,2174.1096,303,6577.92,625.92
113.6,3071.2,2481.84,2307.1152,301,5356.32,565.68
112.2,3095.1,2511.12,2677.0848,301,3015.6,528
109.3,3003.5,2490.6,2412.6024,296,1461.6,710.16
107.7,1855.2,2502.36,2568.54,279,722.88,1016.4
142.2,653.1,2491.68,2440.1208,278,622.56,1290
301.8,386.5,2466.84,2123.6592,232,523.92,3081.6
664.6,286.8,2481.12,2307.1152,264,488.16,6111.84
1302.2,246.4,2505.12,2651.0952,286,506.64,7001.52
2349.4,208.2,2498.76,2628.1632,270,465.84,7199.76
3046.8,187.2,2460.6,2116.0152,257,421.2,7344.24
3080.9,180.2,2486.88,2450.8224,255,391.2,7231.68
3040.3,178.3,2437.8,1727.7,234,374.16,7202.88
3053.6,187.6,2454.6,1995.24,214,375.84,7149.84
3093.8,208.6,2502,2652.624,214,372,6996.96
3071,236.5,2477.04,2317.8168,236,367.44,6410.4
3084.7,269.7,2493.12,2521.1472,244,393.6,5070
3074.8,370.3,2484.96,2365.2096,251,452.88,3306.48
3037.9,622.4,2439.72,1842.36,262,453.84,2134.8
2514.8,1102.7,2487.96,2420.2464,312,726.48,1468.08
871.1,1942.4,2502.96,2648.0376,330,2214.24,1114.8
304.2,2654,2501.76,2618.9904,303,5823.84,942.48
192,3058,2468.16,2140.476,262,7300.32,768.48
172,3075,2486.52,2386.6128,298,7319.28,684
172.9,3052,2458.56,2015.1144,318,7394.88,729.6
165.9,3083.2,2496.12,2490.5712,287,7421.28,674.16
142.4,3094.2,2509.32,2657.2104,283,7412.64,642.72
135.4,3090.7,2505.36,2603.7024,312,7403.52,653.04
126.1,3087.4,2501.28,2565.4824,325,7373.52,637.44
120.8,3074.4,2485.8,2354.508,319,7247.04,610.8
116.4,3052.2,2459.28,2001.3552,293,6857.28,595.44
114,3085.8,2501.64,2551.7232,268,4056.48,653.28
119.3,3020,2506.8,2597.5872,248,2565.36,648.96
175.2,2727.4,2492.52,2426.3616,272,1020.72,881.52
303.8,1562.1,2455.08,1949.376,247,778.56,2007.12
581.1,572.6,2476.2,2218.4448,207,754.56,5235.12
1110.6,369.4,2463.12,2065.5648,188,595.2,6840.24
1815.4,295.1,2488.08,2438.592,235,578.4,7348.08
2697.5,245.2,2502.6,2640.3936,277,514.32,7389.6
3067.5,206,2494.8,2524.2048,271,468.24,7390.56
3085.3,179,2496.12,2524.2048,249,434.88,7340.88
3060.7,159.9,2468.28,2142.0048,224,413.28,7323.12
3054,153.7,2459.28,2033.46,216,394.56,7252.32
3043,159.6,2449.32,1871.4072,221,408.72,7397.04
3094.1,188.8,2510.52,2640.3936,246,424.32,7219.68
3092.5,241,2508.6,2606.76,265,456.24,6388.8
3084.9,371.5,2500.68,2522.676,272,526.08,5060.64
2637.4,545.3,2480.04,2255.136,287,729.84,4348.8
1425,797.2,2466.72,2090.0256,322,2287.2,2295.6
429.4,1502.7,2463.6,2047.2192,315,4956.72,1649.28
231.6,2274,2507.52,2617.4616,247,6737.52,1340.64
150.5,2436.5,2506.32,2618.9904,251,7298.64,1114.8
127.7,2841.5,2448.48,1877.5224,297,7332.96,1065.6
122.9,3050.2,2465.52,2073.2088,287,7331.76,987.6
134.2,3056.4,2464.68,2076.2664,278,7419.84,936.72
129.9,3093.6,2509.08,2629.692,274,7417.68,774.48
116.8,3093,2508.12,2622.048,266,7291.44,705.84
109.8,3039.9,2444.52,1822.4856,280,7378.08,685.92
109.6,3086.5,2500.56,2522.676,284,6790.32,613.44
109.7,3050,2456.76,1967.7216,294,5350.8,591.6
108.5,3058.7,2467.92,2112.9576,287,4142.4,647.28
