lh,rh,ls,rs,w,ll,rl
81.277,79.968,2442.64,2384.72,112,119.8,177.3333333
80.92,79.73,2438.08,2381.44,111,121.4,180
81.753,80.801,2472.64,2412.8,112,121,179.3333333
81.515,80.801,2471.04,2411.76,112,119.8,178
80.682,79.968,2449.28,2391.12,111,120.4,178.6666667
82.348,83.895,2463.6,2406.96,112,119.2,176.6666667
89.012,106.624,2442.8,2386.32,111,120.4,178.3333333
105.91,150.059,2471.68,2413.2,116,117.2,173.6666667
140.063,201.586,2409.68,2352.96,115,120.2,178
237.405,275.723,2471.04,2413.52,120,118.4,175.3333333
344.981,357.714,2433.76,2376.8,118,119.2,177
512.771,460.173,2454.64,2397.68,118,118.4,176.3333333
799.918,565.607,2445.12,2388,119,119.6,178
1238.79,763.861,2473.44,2415.6,122,119.4,178
1745.611,1116.577,2472.72,2412.48,123,119.2,177.6666667
2083.928,1522.605,2468.72,2411.68,125,119.2,177
2820.3,2026.094,2461.68,2405.36,125,118.2,175.6666667
3136.245,2581.943,2446.64,2390.96,125,118.2,175.6666667
3447.906,2856.595,2447.6,2393.84,125,119.4,177.6666667
3608.318,3236.919,2477.28,2422.32,127,119,177
3672.935,3564.645,2472.64,2416.72,126,118.8,177
3676.624,3665.557,2470.56,2415.76,126,116.8,174.3333333
3620.694,3620.218,2432.88,2378.88,125,117.8,176.6666667
3652.11,3652.229,2453.92,2399.52,126,116.6,175.6666667
3623.788,3623.55,2434.8,2383.76,125,118.4,180.3333333
3677.814,3678.766,2471.2,2420.32,127,118.4,180.6666667
3678.885,3680.194,2471.92,2419.2,127,118.2,182
3672.816,3674.363,2467.92,2413.2,128,117.6,183.3333333
3659.964,3661.511,2459.2,2405.04,126,117.6,183.3333333
3647.826,3649.373,2451.12,2393.76,124,117.2,181.6666667
3623.55,3624.978,2434.72,2377.44,121,119.4,183.6666667
3681.265,3682.693,2473.52,2413.52,123,119.8,183.6666667
3688.643,3690.071,2478.48,2417.2,122,119.6,182.6666667
3660.916,3662.106,2459.84,2399.44,121,120.8,182.6666667
3660.083,3661.392,2459.36,2399.76,122,120.4,181
3632.713,3633.903,2440.88,2382.4,121,119.6,180.3333333
3625.454,3626.406,2436.08,2377.36,120,121.6,183
3678.885,3675.196,2472,2410.96,121,121.8,183
3679.123,3669.246,2472.16,2410.24,120,121.8,182.3333333
3671.269,3503.598,2467.2,2406.64,119,121,181.3333333
3657.703,3057.229,2458.56,2399.12,119,120.2,180.6666667
3640.448,2394.161,2446.48,2387.28,118,120.4,180.6666667
2893.485,1675.996,2455.52,2396.8,118,121,181.6666667
2225.419,915.348,2472.16,2413.84,119,120.6,181.6666667
2443.784,565.012,2472.16,2413.04,119,119.8,180.3333333
2191.861,370.328,2460.72,2403.12,119,119.6,180.3333333
608.447,299.404,2460,2402.8,118,118.4,179.3333333
319.039,257.873,2439.92,2384.48,118,119.2,180.3333333
236.81,237.762,2459.2,2404,119,119.8,181.3333333
194.803,229.194,2472.96,2429.36,120,119.2,180
178.738,219.317,2461.52,2419.04,120,119.4,180.3333333
177.31,214.557,2469.44,2429.12,121,118.2,179
163.625,204.204,2452.64,2413.52,120,117.6,177.6666667
149.583,197.064,2441.52,2405.44,118,118.4,179
138.159,192.542,2461.92,2425.2,119,118.8,180.6666667
131.019,187.187,2472.72,2436.16,119,119.2,181.3333333
125.426,183.26,2472.16,2434,119,119.4,181.3333333
124.593,183.022,2469.36,2429.84,118,119.2,181
136.374,193.256,2463.6,2422.88,117,118.2,179.6666667
159.222,217.056,2429.92,2390.88,116,120,182
207.417,278.222,2464.32,2424.64,118,120.4,182.6666667
286.076,389.963,2473.44,2424.64,118,120.2,183
444.822,563.703,2472.4,2421.52,117,120,182.6666667
700.077,696.507,2469.44,2419.36,117,119,182
1052.436,818.839,2450.64,2400.24,115,118.8,181
1526.532,1062.551,2441.04,2391.36,116,120,182.3333333
2140.453,1659.098,2464.48,2413.12,117,120.6,182.3333333
2693.565,2225.062,2468.24,2412.64,117,117.8,178
3213.476,2636.207,2419.52,2368.8,114,119.8,181.3333333
3525.256,3169.327,2465.2,2414.32,116,119,179.6666667
3579.52,3474.681,2453.6,2402.48,115,118.2,178.3333333
3629.857,3545.367,2440.8,2389.68,114,120.4,181.6666667
3705.898,3685.549,2490.08,2437.68,117,116,175.3333333
3582.376,3581.781,2407.04,2356.96,114,118.6,179.6666667
3669.841,3670.079,2465.84,2413.84,118,118.6,179.6666667
3671.507,3672.697,2466.96,2415.6,118,117.4,178
3637.235,3638.425,2444,2398.88,117,116.8,177.6666667
3620.337,3621.527,2432.56,2388.56,117,118.4,180.3333333
