lh,rh,ls,rs,w,ll,rl
132.7,179.9,2456.08,2459.2,323,139.2,81.1
131.8,200.1,2453.52,2455.6,377,138.8,81.1
131.2,230.2,2443.36,2442,434,137.8,80.4
142.4,275.7,2444.64,2444.32,509,137.4,80.7
147.4,320,2418.96,2426.64,521,136,80.3
144.4,356.4,2421.04,2414.72,578,139.6,82.5
159.7,392.7,2456.96,2451.92,623,145.4,88
157.1,389.8,2453.36,2451.68,647,151,89.3
150.2,382.2,2442.88,2450.56,674,155,89.5
153.3,403.9,2389.2,2430.4,683,153.6,88
186.7,436.2,2361.52,2422,695,151.4,85.4
226.7,472.7,2380.24,2431.92,689,152,85.3
244.9,489.1,2318.4,2414.96,710,152.4,85.1
272.6,509.3,2265.6,2393.12,761,155,84.9
301.9,546.9,2275.28,2456.16,833,156.2,86.3
297.8,525.8,2266.24,2431.36,902,156.8,84.5
317.9,509.8,2269.92,2421.44,1034,156.8,84.7
332.9,538,2310,2442.72,1208,155.8,82.9
308.9,547.6,2265.76,2462.64,1331,156.6,82.4
318.8,571.1,2198.4,2399.84,1352,154,79.8
350.8,640.1,2292.56,2447.92,1382,155.2,80.7
353.5,676.9,2255.68,2427.28,1319,156.4,79.8
362.5,679.2,2245.36,2423.52,1304,159.4,81
378.8,677.1,2264.56,2444,1328,160,83.3
380.5,671.7,2268.8,2399.76,1313,156.2,79.8
393,674.7,2277.6,2435.12,1349,157.6,82
389.4,718.3,2258.8,2418.72,1325,155.4,82.7
390.6,749.6,2250.24,2424.4,1313,155,81.1
388.9,773.3,2284.64,2417.68,1313,154,80.4
375.4,780.7,2294.08,2440.96,1316,153.8,81.2
337.2,774.2,2281.84,2455.44,1301,153.8,81.8
311.1,698,2270.64,2450.4,1268,152.4,82.1
287,595.8,2268.56,2445.44,1274,151.6,82.4
257.1,526.4,2278.08,2432.4,1319,150.8,82
229.6,457.8,2301.44,2417.52,1265,148.8,82.3
215.6,411.2,2296.56,2441.92,1280,151.8,85.6
202.9,372.4,2342.96,2447.12,1211,154.2,90.5
195.3,344.5,2309.44,2446,1121,155.2,90.9
190.6,324.7,2318.72,2445.28,1013,155,93
183,303.9,2324.08,2417.76,887,155.4,94.7
176.4,287.3,2300.64,2405.76,800,157.2,93.4
169.6,280.2,2292.96,2442.32,725,158,96.4
159.1,264,2270.96,2382.08,632,155.8,93.5
159.9,262.1,2345.44,2444.24,599,161.4,96.9
153.4,253.1,2330.96,2422.72,533,159.8,95
151.8,246.5,2372.56,2428.56,479,159.8,96.2
151.2,239.9,2366.96,2418.16,431,160,95
151.9,237.6,2416.64,2449.36,389,162.8,98.4
151.7,230.4,2414.64,2455.92,353,164.6,101
148.9,223.9,2448.48,2452.88,323,166,103.1
148.8,217.7,2450.16,2448.64,281,166.6,105.1
144.7,209.4,2425.6,2433.36,254,166.8,104.3
137.2,203.9,2426.72,2426.16,233,167.2,101.8
134.4,200.1,2453.68,2452.96,224,169.4,102.2
128.1,193,2456.96,2456.72,206,168.2,102.7
121.2,184.1,2455.2,2459.12,188,168.6,103.6
114.3,175.6,2448.96,2452.88,173,169,102.8
106.1,167.6,2447.76,2450.88,161,168,100.4
98,159.1,2431.52,2431.68,146,166.2,98.6
93.8,155.9,2457.84,2451.6,161,170,98.3
90.5,152.6,2462.64,2456.48,164,169.8,97.4
87.6,148.2,2418.16,2414.16,152,166.2,95.1
88.3,148.4,2456.88,2447.28,152,167,94.6
86.6,146.7,2436.24,2423.12,140,164.2,93
85.5,146.9,2434.24,2421.28,137,163,92.3
87,149.7,2460.32,2448.56,140,164.4,92.9
89,150.9,2453.28,2440.96,140,163,92.7
90.6,153,2458.16,2447.28,149,162.6,92.6
91.3,153.3,2448.64,2438.56,158,161.4,92.2
91.9,151.7,2432,2422.16,161,160,92.4
93.1,150.4,2432.16,2423.04,152,159.2,93.1
95,150.9,2460.4,2451.04,161,160.6,95.3
