lh,rh,ls,rs,w,ll,rl
40.754,34.45,2428.32,2418.48,180,233.52,205.44
41.18,35,2458.88,2448.32,204,244.08,250.56
42.245,35.4,2468.72,2458,232,252.72,294
44.375,36.05,2471.76,2460.96,244,239.76,307.92
50.126,38.05,2468.96,2458.56,240,240,323.28
62.622,43.85,2464.88,2454.48,240,248.64,391.44
78.597,56.45,2443.92,2434.08,284,291.6,473.52
102.808,82.95,2462.88,2454.48,318,312.72,542.16
116.44,113.1,2472.72,2464.48,388,331.92,558
129.646,134.95,2413.28,2406.56,428,342.96,550.08
158.472,158.6,2461.2,2453.04,422,369.84,657.12
184.6,172.15,2450.56,2443.76,442,444.24,897.36
222.159,181.45,2439.84,2429.36,448,653.04,1439.76
281.87,194.4,2462.32,2453.92,448,1134,3053.28
347.758,208.95,2468,2460.96,466,2638.56,5054.16
472.15,218.3,2467.44,2461.92,488,4488.48,6298.56
531.435,227.65,2460.64,2448.4,486,6260.64,7064.16
628.847,244.55,2460.16,2451.28,478,7185.84,7223.52
776.101,262.4,2444.4,2431.6,464,7344.72,7279.68
1063.935,288.45,2462,2432.16,448,7396.32,7374
1082.963,307,2468.48,2378.56,436,7416.96,7409.76
1113.706,295.35,2464.4,2366.32,456,7405.2,7404.72
1045.688,256.35,2461.2,2344.48,472,7394.88,7394.64
863.147,222.4,2460.56,2316.32,452,7394.64,7394.64
662.501,189.5,2436,2322.88,452,7321.2,7321.2
570.982,176.25,2463.6,2337.76,446,7402.8,7402.8
481.025,165.25,2466,2341.04,422,7410.96,7411.2
421.101,147.8,2418.64,2335.84,414,7268.88,7269.12
392.701,137.7,2461.76,2351.92,446,7399.44,7399.44
368.845,126.4,2462.32,2329.04,426,7401.84,7401.84
341.226,118.05,2450.72,2338.8,454,7366.08,7366.32
322.695,110.55,2464.64,2333.36,406,7407.12,7407.12
298.768,102.9,2403.44,2267.28,412,7221.12,7220.88
283.858,97.75,2420.32,2296.96,406,7271.04,7271.04
259.15,94.25,2428.64,2323.04,406,7294.56,7294.56
238.347,94.05,2459.76,2360.64,388,7390.08,7390.08
213.071,91.65,2424.72,2340.8,380,7292.4,7292.16
187.511,89.55,2462.88,2376.16,352,7412.4,7411.68
