lh,rh,ls,rs,w,ll,rl,0y,1y,2y,3y,4y,5y,6y,7y,8y,9y,10y,11y,12y,13y,14y,15y,16y,17y,18y,19y,20y,21y,22y,23y,24y
484.1,479.1,2498.16,2604.1444,148,167.28,171.12,106.543,268.283,274.181,433.207,577.462,256.564,412.662,556.859,562.68,562.7,762.786,974.763,562.688,762.857,954.18,88.8733,85.9454,109.463,109.379,1021.83,1012.97,974.807,1042.43,1027.68,992.374
748.1,528.5,2470.92,2435.9764,146,166.08,170.4,106.454,268.264,271.37,433.1,574.304,259.463,412.645,550.864,565.61,568.54,765.784,974.753,562.656,762.807,957.024,88.7582,85.8845,109.413,106.581,1021.74,1007.13,977.566,1042.45,1027.67,992.357
1114.7,615.8,2448.96,2322.0808,146,167.76,171.84,106.444,268.315,274.178,433.226,568.519,259.519,412.518,547.909,559.698,562.631,765.666,974.781,556.769,762.825,957.082,88.7561,85.8815,109.491,109.384,1021.75,1007.13,977.578,1042.45,1027.69,992.426
1711.8,917.2,2481.84,2576.626,150,163.2,167.04,106.549,268.293,271.428,436.073,577.505,256.599,415.482,556.881,562.656,565.577,762.825,974.735,562.644,762.798,954.204,91.7077,85.9511,109.456,109.398,1021.83,1012.96,977.566,1045.2,1027.7,992.326
2247.9,1266.7,2392.68,1987.2736,142,167.52,171.36,106.541,268.294,274.19,433.229,577.506,256.569,415.532,559.711,562.677,562.692,762.795,974.759,562.698,762.856,957.062,91.6821,85.956,109.428,109.39,1021.84,1012.96,977.621,1042.4,1027.65,992.394
2634.8,1708.8,2487.84,2617.1392,154,165.6,168.96,106.524,268.269,271.4,433.227,577.504,256.572,415.456,556.865,559.758,562.64,762.848,974.703,562.626,765.652,957.038,88.8728,85.9423,109.439,109.424,1021.8,1012.95,977.609,1045.22,1027.74,992.307
2816.6,2120.5,2448.24,2369.4736,150,164.88,168.24,106.545,268.249,271.411,436.085,577.525,256.549,412.665,559.682,562.636,562.67,762.878,974.718,562.648,762.763,957.022,91.6978,85.924,109.453,109.46,1021.8,1012.94,977.632,1042.43,1027.69,992.344
2961.1,2435.2,2435.28,2299.9132,150,165.12,168.96,106.528,268.267,271.4,436.061,577.542,256.606,412.629,559.696,565.613,568.508,762.877,974.745,565.641,765.679,957.036,88.8619,85.9463,109.451,109.391,1021.76,1010.05,977.619,1042.44,1027.66,992.315
3081.6,2654.4,2439.48,2308.3216,156,166.8,169.92,106.497,268.325,274.232,439.043,577.542,256.603,415.449,559.673,565.616,568.515,765.701,974.718,565.616,762.698,957.136,88.8461,85.9285,109.458,109.366,1021.8,1010.07,977.716,1042.46,1027.69,989.479
3089.6,2991.2,2476.8,2545.2856,162,167.04,169.92,106.463,268.256,271.402,436.214,577.492,256.556,412.639,556.77,562.692,568.505,765.726,974.716,562.669,762.696,957.057,88.7966,85.9007,109.436,109.442,1021.81,1010.07,977.625,1042.34,1024.83,992.334
3088,3052.4,2485.68,2594.9716,166,167.04,169.2,106.48,268.251,271.355,433.255,577.387,256.605,418.495,553.98,562.637,565.595,765.782,974.818,559.766,762.741,954.166,88.8066,85.9086,109.391,109.449,1021.77,1010.01,974.753,1045.21,1027.72,992.393
3081.5,3073.3,2482.56,2521.5892,162,166.56,168.48,106.473,268.247,271.385,436.044,577.293,256.579,415.511,553.89,565.575,568.513,768.643,974.812,562.638,762.814,954.112,88.7681,85.8931,109.44,109.488,1018.89,1007.06,974.661,1042.45,1027.68,992.405
3046,3081.8,2476.08,2403.8716,160,164.88,166.08,106.469,268.258,271.343,433.057,559.753,256.603,406.702,533.26,559.686,562.63,762.883,974.728,556.77,762.75,954.171,88.7842,85.8978,109.458,109.347,1018.86,1004.2,974.733,1042.46,1027.7,992.42
3050.4,3046.1,2432.88,2180.6668,152,164.88,166.08,106.463,268.256,271.379,427.308,553.754,256.559,406.605,527.469,559.73,562.656,765.696,974.702,556.817,762.812,957.055,85.9718,85.9079,109.455,109.405,1021.84,1010.06,974.803,1042.45,1027.69,992.358
3044.2,3051.5,2438.52,2105.7556,146,164.64,166.08,106.511,268.256,271.364,421.418,545.026,256.589,403.757,509.771,559.762,562.664,762.884,974.72,556.842,762.855,957.088,88.7989,85.945,109.471,106.627,1021.83,1010.04,977.612,1042.45,1027.68,992.359
3090.4,3045.4,2431.08,2139.3892,142,167.04,168.48,106.519,268.279,271.41,418.496,530.197,259.492,400.824,503.673,559.705,562.644,762.855,974.688,556.768,762.816,959.982,88.7733,85.9515,109.445,109.481,1021.79,1010.01,977.707,1042.45,1027.68,989.47
3067.3,3091.7,2486.16,2478.0184,148,165.36,166.8,106.535,268.266,271.425,415.502,509.714,256.602,391.975,483.25,553.867,556.757,762.822,974.762,553.773,762.713,957.066,88.7641,85.9779,109.356,109.418,1021.8,1010.01,977.621,1042.43,1027.65,992.399
3078.7,3068.6,2458.56,2380.1752,148,165.84,167.28,106.542,268.252,271.368,412.512,492.07,256.583,389.031,465.498,556.776,559.684,762.84,974.746,553.857,759.896,954.222,88.7864,88.767,109.409,109.505,1021.85,1010.06,974.808,1042.44,1027.67,992.373
3078.5,3080.1,2472.24,2422.9816,146,165.6,167.04,106.542,268.23,271.406,409.573,480.273,256.547,385.99,442.013,556.751,556.802,762.785,974.653,553.832,759.771,957.017,88.808,88.7616,109.422,109.437,1018.9,1007.06,977.612,1042.41,1027.65,989.451
3035.8,3079.8,2471.88,2449.7356,144,162.96,164.16,106.623,265.441,271.361,389.131,439.054,253.601,365.58,409.508,556.802,559.708,762.772,974.668,553.839,759.822,954.19,91.7269,88.8133,112.398,109.365,1021.8,1010.01,974.785,1042.41,1027.65,992.322
3087.3,3037.1,2421,2103.4624,138,165.84,166.8,106.585,265.425,271.309,391.911,430.185,253.598,383.075,409.664,553.854,556.739,762.767,974.714,550.917,753.929,954.085,91.7002,88.7792,112.341,106.592,1021.76,1007.12,974.646,1042.44,1027.65,992.33
3086.5,3088.5,2482.08,2406.1648,138,165.84,166.56,106.589,265.45,271.352,427.263,415.565,253.58,409.518,386.121,553.901,556.812,762.794,974.736,553.767,754.002,954.101,91.7124,88.7815,112.39,106.61,1021.78,1010,974.697,1042.38,1024.85,992.385
3088.8,3087.8,2481.36,2401.5784,136,165.6,166.56,106.618,265.436,271.364,427.265,403.707,253.602,409.579,383.17,553.905,556.791,762.813,974.713,553.794,759.853,954.176,91.7053,88.8167,112.351,109.411,1021.79,1010,974.754,1042.45,1027.68,992.351
3077.7,3090.1,2483.64,2502.4792,134,164.88,166.32,106.605,265.404,271.29,424.292,389.043,250.731,406.702,368.411,553.781,553.796,762.763,974.666,550.875,756.938,954.043,91.7403,88.8603,115.285,109.485,1021.73,1007.08,974.599,1042.44,1027.69,989.426
3077.3,3079.1,2470.32,2386.2904,132,164.88,166.8,106.568,265.349,271.293,415.557,383.012,250.743,406.589,362.562,553.775,553.843,762.727,974.668,550.852,756.92,954.188,91.7132,88.8221,115.254,109.46,1021.86,1010.06,974.747,1045.2,1027.69,989.42
3053.4,3078.7,2469.72,2370.238,130,163.44,166.8,106.625,265.304,271.228,415.504,365.405,250.705,403.724,347.839,550.934,553.814,762.819,974.704,547.967,756.911,954.181,91.7772,88.8809,115.232,109.49,1021.75,1007.1,974.708,1042.45,1027.68,989.457
3041.8,3054.6,2441.28,2224.2376,128,162.96,167.28,109.361,262.385,268.369,415.446,350.695,250.684,400.8,339.074,550.861,550.911,762.758,974.728,547.922,753.982,954.136,91.8005,91.7024,115.266,112.293,1021.84,1010.05,974.685,1045.19,1027.7,992.305
3089.7,3043.2,2427.36,1902.4252,124,165.36,169.44,109.35,259.531,268.251,415.468,338.965,250.651,403.649,333.013,553.792,553.88,762.782,974.709,550.87,756.868,954.103,91.7754,91.7003,115.283,112.347,1021.79,1010.02,974.651,1042.44,1027.68,989.486
3031.6,3091.1,2484.36,2242.5832,130,162,165.12,109.374,256.609,265.43,412.559,321.402,250.628,403.648,321.35,550.875,553.774,762.791,974.716,547.938,756.847,954.17,91.7998,91.7125,115.235,109.517,1024.66,1012.97,974.709,1042.44,1027.68,989.464
3073.8,3032.8,2415.6,1898.6032,126,164.4,166.8,109.374,253.65,265.377,412.705,315.422,247.789,403.652,318.396,550.842,550.899,762.802,974.707,547.904,759.761,957.05,91.7955,91.7021,112.391,109.369,1021.81,1010.05,977.586,1042.43,1027.65,992.32
